PERSON_ID,PLAYER_FIRST_NAME,PLAYER_LAST_NAME,birthCountry,height,weight,POSITION,from_year,to_year,isG,isF,isC,season
1630193,Immanuel,Quickley,USA,6-2,190,Guard,2020.0,2023.0,1,0,0,2022-23
1631311,Lester,Quinones,USA,6-4,208,Guard,2022.0,2023.0,1,0,0,2021-22
1631311,Lester,Quinones,USA,6-4,208,Guard,2022.0,2023.0,1,0,0,2022-23
1630186,Jahmi'us,Ramsey,USA,6-3,190,Guard,2020.0,2021.0,1,0,0,2021-22
203944,Julius,Randle,USA,6-8,250,Forward-Center,2014.0,2023.0,0,1,1,2021-22
203944,Julius,Randle,USA,6-8,250,Forward-Center,2014.0,2023.0,0,1,1,2022-23
1630559,Austin,Reaves,USA,6-5,197,Guard,2021.0,2023.0,1,0,0,2021-22
1630559,Austin,Reaves,USA,6-5,197,Guard,2021.0,2023.0,1,0,0,2022-23
1629629,Cam,Reddish,USA,6-7,217,Forward-Guard,2019.0,2023.0,1,1,0,2021-22
1629629,Cam,Reddish,USA,6-7,217,Forward-Guard,2019.0,2023.0,1,1,0,2022-23
1628432,Davon,Reed,USA,6-5,206,Guard,2017.0,2022.0,1,0,0,2021-22
1628432,Davon,Reed,USA,6-5,206,Guard,2017.0,2022.0,1,0,0,2022-23
1630194,Paul,Reed,USA,6-9,210,Forward,2020.0,2023.0,0,1,0,2021-22
1630194,Paul,Reed,USA,6-9,210,Forward,2020.0,2023.0,0,1,0,2022-23
1629675,Naz,Reid,USA,6-9,264,Center-Forward,2019.0,2023.0,0,1,1,2021-22
1629675,Naz,Reid,USA,6-9,264,Center-Forward,2019.0,2023.0,0,1,1,2022-23
1631197,Jared,Rhoden,USA,6-6,210,Guard,2022.0,2023.0,1,0,0,2021-22
1631197,Jared,Rhoden,USA,6-6,210,Guard,2022.0,2023.0,1,0,0,2022-23
1630208,Nick,Richards,Jamaica,7-0,245,Center,2020.0,2023.0,0,0,1,2021-22
1630208,Nick,Richards,Jamaica,7-0,245,Center,2020.0,2023.0,0,0,1,2022-23
1626196,Josh,Richardson,USA,6-6,200,Guard,2015.0,2023.0,1,0,0,2021-22
1626196,Josh,Richardson,USA,6-6,200,Guard,2015.0,2023.0,1,0,0,2022-23
203085,Austin,Rivers,USA,6-4,200,Guard,2012.0,2023.0,1,0,0,2021-22
203085,Austin,Rivers,USA,6-4,200,Guard,2012.0,2023.0,1,0,0,2022-23
1629130,Duncan,Robinson,USA,6-7,215,Forward,2018.0,2023.0,0,1,0,2021-22
1629130,Duncan,Robinson,USA,6-7,215,Forward,2018.0,2023.0,0,1,0,2022-23
1629620,Justin,Robinson,USA,6-1,195,Guard,2019.0,2021.0,1,0,0,2021-22
1629011,Mitchell,Robinson,USA,7-0,240,Center-Forward,2018.0,2023.0,0,1,1,2021-22
1629011,Mitchell,Robinson,USA,7-0,240,Center-Forward,2018.0,2023.0,0,1,1,2022-23
1631115,Orlando,Robinson,USA,6-10,235,Center,2022.0,2023.0,0,0,1,2021-22
1631115,Orlando,Robinson,USA,6-10,235,Center,2022.0,2023.0,0,0,1,2022-23
1630526,Jeremiah,Robinson-Earl,USA,6-8,240,Forward,2021.0,2023.0,0,1,0,2021-22
1630526,Jeremiah,Robinson-Earl,USA,6-8,240,Forward,2021.0,2023.0,0,1,0,2022-23
1629676,Isaiah,Roby,USA,6-8,230,Forward,2019.0,2023.0,0,1,0,2021-22
1629676,Isaiah,Roby,USA,6-8,230,Forward,2019.0,2023.0,0,1,0,2022-23
1631223,David,Roddy,USA,6-4,255,Forward,2022.0,2023.0,0,1,0,2021-22
1631223,David,Roddy,USA,6-4,255,Forward,2022.0,2023.0,0,1,0,2022-23
1631157,Ryan,Rollins,USA,6-3,180,Guard,2022.0,2023.0,1,0,0,2021-22
1631157,Ryan,Rollins,USA,6-3,180,Guard,2022.0,2023.0,1,0,0,2022-23
200765,Rajon,Rondo,USA,6-1,180,Guard,2006.0,2021.0,1,0,0,2021-22
203082,Terrence,Ross,USA,6-7,206,Guard-Forward,2012.0,2023.0,1,1,0,2021-22
203082,Terrence,Ross,USA,6-7,206,Guard-Forward,2012.0,2023.0,1,1,0,2022-23
1626179,Terry,Rozier,USA,6-1,190,Guard,2015.0,2023.0,1,0,0,2021-22
1626179,Terry,Rozier,USA,6-1,190,Guard,2015.0,2023.0,1,0,0,2022-23
